;GND-ID;Name_identifiziert;occupation_GND;birth_GND;gender;death_GND;country_GND;country_norm
1056;118693727;Frischmuth, Barbara;"Übersetzer; Schriftsteller";1941-07-05;Weiblich;;Österreich;Ö
1057;115490043;Noll, Ingrid;Schriftsteller;1935-09-29;Weiblich;;Deutschland;D
1058;124649599;Delbrück, Joachim von;"Herausgeber; Schriftsteller";1886-03-30;Männlich;1951-08-01;Deutschland;D
1059;118828681;Hofmann, Gert;"Schriftsteller; Literaturwissenschaftler";1931-01-29;Männlich;1993-07-01;Deutschland;D
1060;118530666;Erasmus, Desiderius;"Theologe; Priester; Schriftsteller; Philologe; Pädagoge; Humanist";1466-10-28;Männlich;1536-07-12;"Niederlande; Europa";S
1061;137377754;Addonia, Sulaiman S. M. Y.;Schriftsteller;;Unbekannt;;"Eritrea; Großbritannien";
1062;120193183;Clair, Jean;"Essayist; Schriftsteller; Museumsdirektor; Kunsthistoriker";1940;Männlich;;Frankreich;
1063;119559439;Stern, Horst;"Schriftsteller; Journalist; Dokumentarfilmer";1922-10-24;Männlich;2019-01-17;Deutschland;D
1064;119373610;Acker, Kathy;"Drehbuchautor; Schriftsteller";1947-04-18;Weiblich;1997-11-30;USA;
1065;118549812;Hermlin, Stephan;"Schriftsteller; Sprecher; Regisseur; Drehbuchautor; Librettist";1915-04-13;Männlich;1997-04-06;"Frankreich; Europa; Spanien; Deutschland";D,S
1066;1013609662;Seel, Daniela;"Schriftsteller; Übersetzer; Verleger; Lyriker; Herausgeber";1974;Weiblich;;Deutschland;D
1067;118627058;Villiers de L'Isle-Adam, Auguste de;"Dramatiker; Schriftsteller";1838-11-07;Männlich;1889-08-19;Frankreich;
1068;1072059940;Hirschl, Elias;"Musiker; Schriftsteller";1994;Männlich;;Österreich;Ö
1069;130547034;Meyerhoff, Joachim;"Schauspieler; Regisseur; Schriftsteller";1967;Männlich;;"Österreich; Deutschland";D,Ö
1070;118730703;Manolescu, Georges;"Hochstapler; Schriftsteller";1871-05-19;Männlich;1908-01-02;Rumänien;
1071;123239001;Hermann, Kai;"Redakteur; Drehbuchautor; Schriftsteller";1938-01-29;Männlich;;Deutschland;D
1072;141869674;Elmiger, Dorothee;Schriftsteller;1985;Weiblich;;Europa;S
1073;118570080;Laube, Heinrich;"Theaterkritiker; Theaterdirektor; Dramatiker; Politiker; Abgeordneter; Redakteur; Schriftsteller";1806-09-18;Männlich;1884-08-01;"Österreich; Polen; Deutschland";D,Ö
1074;121401030;Kling, Thomas;"Lyriker; Schriftsteller";1957-06-05;Männlich;2005-04-01;Deutschland;D
1075;118561359;Kempowski, Walter;"Politischer Gefangener; Lehrer; Pädagoge; Chronist; Archivar; Schriftsteller";1929-04-29;Männlich;2007-10-05;"Deutschland (DDR); Deutschland";D
1076;129719218;Evaristo, Bernardine;"Schriftsteller; Hochschullehrer; Aktivist; Lyriker";1959;Weiblich;;Großbritannien;
1077;118513451;Borchert, Wolfgang;"Lyriker; Schauspieler; Schriftsteller; Buchhändler; Dramatiker";1921-05-20;Männlich;1947-11-20;Deutschland;D
1078;139920587;Schütte, Uwe;"Dozent; Autor; Schriftsteller; Germanist";1967;Männlich;;"Deutschland; Großbritannien";D
1079;118817663;Morgner, Irmtraud;"Germanist; Schriftsteller";1933-08-22;Weiblich;1990-05-06;Deutschland;D
1080;118659723;Bradbury, Ray;Schriftsteller;1920-08-22;Männlich;2012-06-05;USA;
1081;118787640;Radiguet, Raymond;Schriftsteller;1903;Männlich;1923;Frankreich;
1082;118031198;Merz, Klaus;Schriftsteller;1945;Männlich;;Europa;S
1083;138119813;Camenisch, Arno;"Dramatiker; Lyriker; Schriftsteller";1978-02-01;Männlich;;Europa;S
1084;123543185;Suter, Martin;"Schriftsteller; Werbetexter; Drehbuchautor; Kolumnist";1948-02-29;Männlich;;"Europa; Spanien; Guatemala";S
1085;136900666;Kaiser-Mühlecker, Reinhard;Schriftsteller;1982;Männlich;;Österreich;Ö
1086;118824465;Wühr, Paul;"Schriftsteller; Lehrer; Übersetzer";1927-07-10;Männlich;2016-07-12;Deutschland;D
1087;118532960;Fielding, Henry;"Dramatiker; Schriftsteller; Jurist";1707-04-22;Männlich;1754-10-08;Großbritannien;
1088;118501232;Aichinger, Ilse;Schriftsteller;1921-11-01;Weiblich;2016-11-11;Österreich;Ö
1089;118604627;Sachs, Nelly;"Nobelpreisträger; Lyriker; Librettist; Schriftsteller";1891-12-10;Weiblich;1970-05-12;"Schweden; Deutschland";D
1090;133753573;Kreller, Susan;"Schriftsteller; Journalist";1977;Weiblich;;Deutschland;D
1091;118631373;Werfel, Franz;"Musiker; Schriftsteller; Sprecher; Librettist; Übersetzer";1890-09-10;Männlich;1945-08-26;"USA; Österreich; Deutschland; Tschechische Republik";D,Ö
1092;118550772;Heyse, Paul;"Schriftsteller; Librettist; Dramatiker; Übersetzer; Privatgelehrter";1830-03-15;Männlich;1914-04-02;Deutschland;D
1093;118572954;Liliencron, Detlev von;"Schriftsteller; Librettist";1844-06-03;Männlich;1909-07-22;Deutschland;D
1094;118781936;Marinetti, Filippo Tommaso;"Schriftsteller; Übersetzer; Politiker";1876-12-22;Männlich;1944-12-02;Italien;
1095;118587404;Neumark, Georg;"Bibliothekar; Schriftsteller; Kirchenlieddichter; Komponist";1621-03-16;Männlich;1681-07-08;Deutschland;D
1096;118811606;Meissner, Hans-Otto;"Drehbuchautor; Diplomat; Schriftsteller; Jugendbuchautor";1909-06-04;Männlich;1992-09-08;Deutschland;D
1097;118566962;Kroetz, Franz Xaver;"Regisseur; Schriftsteller; Drehbuchautor; Schauspieler";1946-02-25;Männlich;;Deutschland;D
1098;118665855;Ball-Hennings, Emmy;"Kabarettist; Schriftsteller; Chansonnière; Schauspieler";1885-01-17;Weiblich;1948-08-10;"Deutschland; Italien; Europa";D,S
1099;120729369;Hotschnig, Alois;"Anglist; Germanist; Librettist; Schriftsteller";1959-10-03;Männlich;;Österreich;Ö
1100;119523604;Funke, Cornelia;"Filmproduzent; Kinderbuchautor; Illustrator; Jugendbuchautor; Schriftsteller";1958-12-10;Weiblich;;"Deutschland; USA";D
1101;12123035X;Mora, Terézia;"Schriftsteller; Übersetzer; Kamerafrau";1971;Weiblich;;"Ungarn; Deutschland";D
1102;121079708;Borowski, Tadeusz;"Schriftsteller; Publizist";1922-11-12;Männlich;1951-07-03;Polen;
1103;1014211085;Vogel, Mikael;"Lyriker; Schriftsteller; Übersetzer";1975;Männlich;;Deutschland;D
1104;119022370;Mitterer, Felix;"Drehbuchautor; Schriftsteller; Schauspieler; Dramatiker";1948-02-06;Männlich;;"Österreich; Irland";Ö
1105;11888090X;Reinerová, Lenka;"Journalist; Schriftsteller";1916-05-17;Weiblich;2008-06-27;Tschechische Republik;
1106;118507877;Beauvoir, Simone de;"Schriftsteller; Feminist; Philosoph; Journalist";1908-01-09;Weiblich;1986-04-14;Frankreich;
1107;118500708;Adler, H. G.;"Philosoph; Historiker; Schriftsteller; Soziologe";1910-07-02;Männlich;1988-08-21;"Tschechische Republik; Großbritannien; Österreich";Ö
1108;105404624;Wörishöffer, Sophie;"Jugendbuchautor; Schriftsteller";1838-10-06;Weiblich;1890-11-08;Deutschland;D
1109;118530259;Ende, Michael;"Drehbuchautor; Schauspieler; Lyriker; Musiker; Liedermacher; Librettist; Schriftsteller";1929-11-12;Männlich;1995-08-28;"Italien; Deutschland";D
1110;118839276;Timm, Uwe;"Lyriker; Schriftsteller; Drehbuchautor";1940-03-30;Männlich;;Deutschland;D
1111;118503251;Anouilh, Jean;"Schriftsteller; Dramatiker";1910-06-23;Männlich;1987-10-03;Frankreich;
1112;114377502;Pock, Rosa;Schriftsteller;1949;Weiblich;;Österreich;Ö
1113;118700421;Hagedorn, Friedrich von;"Jurist; Schriftsteller; Philosoph";1708-04-23;Männlich;1754-10-28;Deutschland;D
1114;123175003;Rumpl, Manfred;Schriftsteller;1960;Männlich;;Österreich;Ö
1115;11919967X;Hürlimann, Thomas;Schriftsteller;1950-12-21;Männlich;;"Europa; Deutschland";D,S
1116;118526200;Döblin, Alfred;"Schriftsteller; Militärarzt; Arzt; Drehbuchautor";1878-08-10;Männlich;1957-06-26;"USA; Deutschland; Polen; Frankreich";D
1117;116603399;Kuhn, Irène;"Schriftsteller; Dozent; Germanist; Übersetzer";1947;Weiblich;;"Frankreich; Deutschland";D
1118;118757695;Süskind, Wilhelm E.;"Schriftsteller; Übersetzer; Journalist";1901-06-10;Männlich;1970-04-17;Deutschland;D
1119;118550152;Herz, Henriette;"Erzieher; Übersetzer; Schriftsteller";1764-09-05;Weiblich;1847-10-22;Deutschland;D
1120;118562002;Kierkegaard, Søren;"Philosoph; Theologe; Schriftsteller";1813-05-05;Männlich;1855-11-11;Dänemark;
1121;11860743X;Schickele, René;"Schriftsteller; Redakteur; Publizist";1883-08-04;Männlich;1940-01-31;"Deutschland; Frankreich";D
1122;118524275;Defoe, Daniel;"Journalist; Geheimagent; Schriftsteller";1660-09;Männlich;1731-04-24;Großbritannien;
1123;134107535;Schomann, Stefan;"Journalist; Schriftsteller";1962;Männlich;;"China; Deutschland";D
1124;173913873;Ebrahimi, Nava;"Journalist; Schriftsteller";1978;Weiblich;;"Iran; Österreich";Ö
1125;1061146235;Scheffler, Rike;"Musiker; Lyriker; Performancekünstler; Schriftsteller";1985;Weiblich;;Deutschland;D
1126;118743023;Puzo, Mario;"Drehbuchautor; Schriftsteller";1920-10-15;Männlich;1999-07-02;USA;
1127;119549867;Haslinger, Josef;Schriftsteller;1955-07-05;Männlich;;"Deutschland; Österreich";D,Ö
1128;12126582X;Biller, Maxim;"Musiker; Journalist; Schriftsteller; Komponist; Kinderbuchautor; Dramatiker; Sprecher";1960-08-25;Männlich;;"Tschechoslowakei; Deutschland; Tschechische Republik";D
1129;138759669;Clar, Peter;"Schriftsteller; Literaturwissenschaftler";1980;Männlich;;Österreich;Ö
1130;118580604;Melville, Herman;"Librettist; Matrose; Zollbeamter; Schriftsteller";1819-08-01;Männlich;1891-09-28;USA;
1131;11926594X;Richartz, Walter E.;"Chemiker; Übersetzer; Schriftsteller";1927-05-14;Männlich;1980-02-03;Deutschland;D
1132;11869636X;Gomringer, Eugen;"Schriftsteller; Designer; Librettist; Lyriker; Grafiker; Kunsthistoriker";1925-01-20;Männlich;;"Bolivien; Europa";S
